Hospital Name,District,Address,Phone No,Mail-ID,Scheme,Speciality
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,NEONATAL
AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,COVID,Camp
Doctor(L&T)"

THC YELANDUR,"Chamarajan
agara","NH Road Kollegala Road
yelandur
CHAMARAJANAGAR",8226240174,"ghyelandur
@gmail.co
mamsastyld
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID,Camp
Doctor(L&T)"

"Community Health Centre
Kalasa","Chikkamaga
luru","Community Health
CentreKalasa Mahaveera
Circle Chikkamanaglur
577124",8263274850,"mohchckala
sa@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

THC YELANDUR,"Chamarajan
agara","NH Road Kollegala Road
yelandur
CHAMARAJANAGAR",8226240174,"ghyelandur
@gmail.co
mamsastyld
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID,Camp
Doctor(L&T)"

"Community Health Centre
Kalasa","Chikkamaga
luru","Community Health
CentreKalasa Mahaveera
Circle Chikkamanaglur
577124",8263274850,"mohchckala
sa@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

"Aralaguppe Mallegowda
District Hospital
chikmagalur","Chikkamaga
luru","Aralaguppe Mallegowda
District
HospitalChikmagalurazad
Park Opp  Muncipal
Corporation
chikkamanaglur 577101",8262235213,"dschikmagal
ur@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,MENTAL
DISORDERS
PACKAGES,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,PULMONOLOG
Y,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims"

"Aralaguppe Mallegowda
District Hospital
chikmagalur","Chikkamaga
luru","Aralaguppe Mallegowda
District
HospitalChikmagalurazad
Park Opp  Muncipal
Corporation
chikkamanaglur 577101",8262235213,"dschikmagal
ur@gmail.c
om","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,MENTAL
DISORDERS
PACKAGES,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,PULMONOLOG
Y,PLASTIC &
RECONSTRUCTIVE
SURGERY,COVID,Accident
Victims"

"Taluk General Hospital
Tarikere","Chikkamaga
luru","Near Mg Circle B H Road
Tarikere Chikamagalur
District",9448885257,"tanveerkana
katte@gmai
l.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,COVID"

"Taluk General Hospital
Tarikere","Chikkamaga
luru","Near Mg Circle B H Road
Tarikere Chikamagalur
District",9448885257,"tanveerkana
katte@gmai
l.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,COVID"

"Govt General Hospital
Kadur","Chikkamaga
luru","Nh 206 Opp Hp Petrol
Bunk Kadur 577548",9448971953,"ghkadur.fru
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,COVID"

"Govt General Hospital
Kadur","Chikkamaga
luru","Nh 206 Opp Hp Petrol
Bunk Kadur 577548",9448971953,"ghkadur.fru
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,COVID"

"P K S General Hospital
Birur","Chikkamaga
luru","P K S Genaral Hospital B
H Road Birur",8267255630,"amoghbirur
2010@gmai
l.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

MGM General Hospital,"Chikkamaga
luru","Km Road Near Vs School
Mudigere T Chickmaglore
D",8263221450,"mohmudige
re@gmail.c
om","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,COVID"

"P K S General Hospital
Birur","Chikkamaga
luru","P K S Genaral Hospital B
H Road Birur",8267255630,"amoghbirur
2010@gmai
l.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

MGM General Hospital,"Chikkamaga
luru","Km Road Near Vs School
Mudigere T Chickmaglore
D",8263221450,"mohmudige
re@gmail.c
om","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,SIMP
LE SECONDARY GENERAL
PROCEDURE,COVID"

Genaral Hospital Sringeri,"Chikkamaga
luru",Near Taluk panchayath,8265251122,"amosringeri
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,OPHTHALMOLOG
Y,ORTHOPAEDICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

"Community Health Center
Vittal","Dakshina
Kannada","Community Health
CenterVittal Dakshina
Kannada 574243",8255239366,"chcvittal@g
mail.com","Ayushman Bharat -
Arogya Karnataka","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

"Community Health Centre
Vamadapadavu","Dakshina
Kannada","CHC Vamadapadavu
Bantwal TalukDakshina
Kannada 574324",8255282253,"chcvamadap
adavu@gma
il.com","Ayushman Bharat -
Arogya Karnataka","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

Genaral Hospital Sringeri,"Chikkamaga
luru",Near Taluk panchayath,8265251122,"amosringeri
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,OPHTHALMOLOG
Y,ORTHOPAEDICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

"Community Health Center
Vittal","Dakshina
Kannada","Community Health
CenterVittal Dakshina
Kannada 574243",8255239366,"chcvittal@g
mail.com","Ayushman Bharat -
Arogya Karnataka","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

"Community Health Centre
Vamadapadavu","Dakshina
Kannada","CHC Vamadapadavu
Bantwal TalukDakshina
Kannada 574324",8255282253,"chcvamadap
adavu@gma
il.com","Ayushman Bharat -
Arogya Karnataka","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

"Community Health Centre
Moodabidri","Dakshina
Kannada","Beside Town Muncipal
Counsil Moodabidri
Dakshina Kannada 74227",8258238536,"drchcmoodb
idri@gmail.
com","Ayushman Bharat -
Arogya Karnataka","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID,Camp
Doctor(L&T)"

"Community Health Centre
Mulki","Dakshina
Kannada","Karnad Mulky Dakshinna
Kannada",8242290562,"chcmulky@
gmail.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,COVID"

"Community Health Centre
Moodabidri","Dakshina
Kannada","Beside Town Muncipal
Counsil Moodabidri
Dakshina Kannada 74227",8258238536,"drchcmoodb
idri@gmail.
com","Ayushman Bharat -
Arogya Karnataka","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID,Camp
Doctor(L&T)"

"Community Health Centre
Mulki","Dakshina
Kannada","Karnad Mulky Dakshinna
Kannada",8242290562,"chcmulky@
gmail.com","Ayushman Bharat -
Arogya Karnataka","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,COVID"

CHC Dharmasthala,"Dakshina
Kannada","Dharmasthala
Belthangady Taluk",8256277288,"dharmasthal
achc@gmail
.com","Ayushman Bharat -
Arogya Karnataka","SIMPLE SECONDARY
GENERAL PROCEDURE"

CHC Dharmasthala,"Dakshina
Kannada","Dharmasthala
Belthangady Taluk",8256277288,"dharmasthal
achc@gmail
.com","Ayushman Bharat -
Arogya Karnataka","SIMPLE SECONDARY
GENERAL PROCEDURE"

"Govt Ladygoschen
Hospital Mangalore","Dakshina
Kannada","Govt Lady Goschen
Hospital
MangaloreMaidan Road
Hampanakatta
MangaluruDakshina
Kannada 575001",8242445611,"ladygoshen
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","OBSTETRICS AND
GYNAECOLOGY,NEONATAL
AND PAEDIATRICS,COVID"

Taluk Hospital Bantwal,"Dakshina
Kannada","Taluk Hospital Bantwal
Taluk Dakshina Kannada
574211",8255233332,"mochc2009
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,POLY
TRAUMA,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID,Camp
Doctor(L&T),Accident Victims"

"Govt Ladygoschen
Hospital Mangalore","Dakshina
Kannada","Govt Lady Goschen
Hospital
MangaloreMaidan Road
Hampanakatta
MangaluruDakshina
Kannada 575001",8242445611,"ladygoshen
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Jyothi
Sanjeevini","OBSTETRICS AND
GYNAECOLOGY,NEONATAL
AND PAEDIATRICS,COVID"

Taluk Hospital Bantwal,"Dakshina
Kannada","Taluk Hospital Bantwal
Taluk Dakshina Kannada
574211",8255233332,"mochc2009
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,POLY
TRAUMA,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID,Camp
Doctor(L&T),Accident Victims"

Talooku Hospital Sullia,"Dakshina
Kannada","Talooku Hospital Sullia
Sullya",8257230479,"mohchcsulli
a@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,OPHTHALMOLOG
Y,ORTHOPAEDICS,POLYTRA
UMA,SIMPLE SECONDARY
GENERAL
PROCEDURE,COVID"

"Taluk General Hospital
Belthangady","Dakshina
Kannada","Taluk General Hospital
BelthangadyNear
SantekatteDakshina
Kannada 574214",8256232116,"amobelthan
gadi-hfws@
karnataka.g
ov.in","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,OPHTHALMOLOG
Y,ORTHOPAEDICS,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

Talooku Hospital Sullia,"Dakshina
Kannada","Talooku Hospital Sullia
Sullya",8257230479,"mohchcsulli
a@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,OPHTHALMOLOG
Y,ORTHOPAEDICS,POLYTRA
UMA,SIMPLE SECONDARY
GENERAL
PROCEDURE,COVID"

"Taluk General Hospital
Belthangady","Dakshina
Kannada","Taluk General Hospital
BelthangadyNear
SantekatteDakshina
Kannada 574214",8256232116,"amobelthan
gadi-hfws@
karnataka.g
ov.in","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,OPHTHALMOLOG
Y,ORTHOPAEDICS,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

Taluk Hospital Puttur,"Dakshina
Kannada","Taluk Hospital Puttur
Near Minividansouda
Puttur",8251230338,"ghputtur@g
mail.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,POLY
TRAUMA,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

"Comunity Health Center
Halebeedu",Hassan,"Comunity Health
CenterCHC Governament
HospitalKsrtc Bus Stand
Near Halebeedu Belur
Taluk Hassan Disrict
Hassan 573121",8177273022,"chchalebeed
u@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

Taluk Hospital Puttur,"Dakshina
Kannada","Taluk Hospital Puttur
Near Minividansouda
Puttur",8251230338,"ghputtur@g
mail.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","GENERAL
SURGERY,OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,OPHTHALMO
LOGY,ORTHOPAEDICS,POLY
TRAUMA,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

"Comunity Health Center
Halebeedu",Hassan,"Comunity Health
CenterCHC Governament
HospitalKsrtc Bus Stand
Near Halebeedu Belur
Taluk Hassan Disrict
Hassan 573121",8177273022,"chchalebeed
u@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Konanuru,Hassan,"CHC Konanuru CHC
Konanuru Opposite
Gramapanchyath Building
Arkalgud Taluk Hassan
District Pin 573130",8175226354,"chckonanur
u@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

CHC Udaypura,Hassan,"CHC Udaypura B H Road
Udaypura
Channarayapatna Hassan
Hassan  573116",8176272038,"amoudaypur
a@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hosptal Gandas,Hassan,"CHC Hosptal
GandasMysore Road
Gandasi Gandasi Hassan
573119",8174220738,"chcgandsi@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Konanuru,Hassan,"CHC Konanuru CHC
Konanuru Opposite
Gramapanchyath Building
Arkalgud Taluk Hassan
District Pin 573130",8175226354,"chckonanur
u@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE,COVID"

CHC Udaypura,Hassan,"CHC Udaypura B H Road
Udaypura
Channarayapatna Hassan
Hassan  573116",8176272038,"amoudaypur
a@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hosptal Gandas,Hassan,"CHC Hosptal
GandasMysore Road
Gandasi Gandasi Hassan
573119",8174220738,"chcgandsi@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hospital Jc Pura,Hassan,"CHC Hospital Jc
Purahuliyaru Road Jc
PuraHassan 573126",8147251552,"chcjcpura@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Paduvalahippi,Hassan,"CHC PaduvalahippiMain
Road Paduvalhippe
Holenarasipura Taluk
Hassan D Hassan 573211",8175273430,"hsnpaduvala
hippi@gmai
l.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hospital Jc Pura,Hassan,"CHC Hospital Jc
Purahuliyaru Road Jc
PuraHassan 573126",8147251552,"chcjcpura@
gmail.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Paduvalahippi,Hassan,"CHC PaduvalahippiMain
Road Paduvalhippe
Holenarasipura Taluk
Hassan D Hassan 573211",8175273430,"hsnpaduvala
hippi@gmai
l.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Doddakunche,Hassan,"CHC Doddakunche
Opposite Kamenahalli
Road Holenarsipur Hassan
573211",8175266115,"chcdkunche
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hirisave,Hassan,"Old B M Road Hirisave
Channarayapatana
573124",8176226002,"chchirisave
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

"Community Health Centre
Arehalli",Hassan,"Arehalli Main Road
Hassan  573101",9591320322,"chaarehalli
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,NEONATAL
AND PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Doddakunche,Hassan,"CHC Doddakunche
Opposite Kamenahalli
Road Holenarsipur Hassan
573211",8175266115,"chcdkunche
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hirisave,Hassan,"Old B M Road Hirisave
Channarayapatana
573124",8176226002,"chchirisave
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

"Community Health Centre
Arehalli",Hassan,"Arehalli Main Road
Hassan  573101",9591320322,"chaarehalli
@gmail.co
m","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,NEONATAL
AND PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Mosalehosahalli,Hassan,"HMRoad Mosalehosahalli
Hassan",8277507876,"chcmosaleh
osalli@gmai
l.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

"Shravanabelagola
Cammunity Health Center",Hassan,"Shravanabelagola Health
Center Channarayapatna
Hassan  573116",7892518017,"chcs.belagol
a@yahoo.in","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hallimysore,Hassan,"Main Road Hallimysore
Holenarisipur Hassan
573210",8175260706,"chchallimys
ore123@gm
ail.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","DENTAL AND ORAL AND
MAXILLOFACIAL
SURGERY,ENT,NEONATAL
AND PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Mosalehosahalli,Hassan,"HMRoad Mosalehosahalli
Hassan",8277507876,"chcmosaleh
osalli@gmai
l.com","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,GENERAL
MEDICINE,NEONATAL AND
PAEDIATRICS,SIMPLE
SECONDARY GENERAL
PROCEDURE"

"Shravanabelagola
Cammunity Health Center",Hassan,"Shravanabelagola Health
Center Channarayapatna
Hassan  573116",7892518017,"chcs.belagol
a@yahoo.in","Ayushman Bharat -
Arogya
Karnataka,Rashtriy
a Bal Swasthya
Karyakram","OBSTETRICS AND
GYNAECOLOGY,DENTAL
AND ORAL AND
MAXILLOFACIAL
SURGERY,SIMPLE
SECONDARY GENERAL
PROCEDURE"

CHC Hallimysore,Hassan,"Main Road Hallimysore
Holenarisipur Hassan
573210",8175260706,"chchallimys
ore123@gm
ail.com","Ayushman Bharat -
Arogya
